
Factor Profiles (conc. of species) from Base Run #1 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6
1	1,3,5-Trimethylbenzene(ppbC)	1.083666E+001	1.787112E+001	6.314512E+000	4.001041E+001	2.288287E+001	2.084427E+000
1	o-Ethyltoluene(ppbC)	9.568586E+000	1.939044E+001	5.673132E+000	4.030960E+001	2.231479E+001	2.743461E+000
1	1,2,4-Trimethylbenzene(ppbC)	1.378199E+001	1.664935E+001	7.545791E+000	3.898334E+001	2.049910E+001	2.540433E+000
1	n-Decane(ppbC)	1.228212E+001	1.764775E+001	7.450363E+000	3.577761E+001	2.486345E+001	1.978695E+000
1	1,2,3-Trimethylbenzene(ppbC)	9.172518E+000	1.306851E+001	7.346711E+000	3.834132E+001	2.613661E+001	5.934330E+000
1	m-Diethylbenzene(ppbC)	1.106238E+001	2.650268E+001	3.368627E+000	3.502816E+001	2.164004E+001	2.398113E+000
1	p-Diethylbenzene(ppbC)	1.235742E+001	2.083298E+001	2.341562E+000	3.965292E+001	1.965973E+001	5.155388E+000
1	n-Undecane(ppbC)	1.369254E+001	1.927698E+001	4.168641E+000	3.979797E+001	2.015227E+001	2.911604E+000
1	n-Dodecane(ppbC)	8.148149E+000	1.596337E+001	5.162983E-003	2.584226E+001	4.372757E+001	6.313483E+000

Factor Profiles (% of factor total) from Base Run #1 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6
1	Ethane(ppbC)	3.887179E+000	0.000000E+000	1.091727E+001	1.292956E+000	5.979155E+000	3.574594E+000
1	Ethylene(ppbC)	1.666027E+001	4.804994E+000	1.301360E+001	5.917712E-001	4.146475E-003	1.588246E+000
1	Propane(ppbC)	4.457385E+000	3.724461E+000	1.109146E+001	1.742499E+000	8.235189E+000	6.551085E+000
1	Propylene(ppbC)	8.616408E+000	4.284636E+000	5.629134E+000	4.388188E-001	2.163803E+000	8.964885E-001
1	Isobutane(ppbC)	1.570126E+000	2.858242E+000	3.615373E+000	1.005312E+000	5.060265E+000	6.831221E+000
1	n-Butane(ppbC)	3.029390E+000	3.753618E+000	6.127204E+000	9.873577E-001	1.028283E+001	1.505336E+001
1	Acetylene(ppbC)	1.366150E+000	4.206384E+000	6.184932E+000	2.224948E+000	7.483504E-001	0.000000E+000
1	t-2-Butene(ppbC)	3.089268E-001	1.761595E+000	4.645747E-001	1.408896E-001	4.661867E-002	1.985475E+000
1	1-Butene(ppbC)	4.706975E-001	1.224809E+000	8.585671E-001	4.587039E-001	1.407068E+000	8.209801E-001
1	cis-2-Butene(ppbC)	4.023982E-001	8.686647E-001	4.210439E-001	1.735176E-001	1.176708E-001	1.051206E+000
1	Cyclopentane(ppbC)	6.648372E-001	2.460402E-002	7.351235E-001	9.091963E-001	7.928239E-001	8.868251E-001
1	Isopentane(ppbC)	4.126646E+000	3.512405E+000	4.412151E+000	1.968802E+000	1.084623E+001	1.818729E+001
1	n-Pentane(ppbC)	3.057341E+000	3.550779E-003	3.212754E+000	9.822409E-006	1.053486E+001	1.246891E+001
1	t-2-Pentene(ppbC)	3.270866E-001	1.488405E+000	3.526767E-001	5.079109E-001	5.906585E-002	1.411066E+000
1	1-Pentene(ppbC)	1.390945E-001	3.513032E-001	1.797718E-001	2.173658E-001	1.453993E-001	2.713007E-001
1	cis-2-Pentene(ppbC)	1.370904E-001	5.114676E-001	1.373721E-001	2.149177E-001	3.429261E-007	5.019791E-001
1	2,2-Dimethylbutane(ppbC)	2.006889E-001	2.204831E-001	1.898910E-001	3.582063E-001	1.776928E-001	3.677191E-001
1	2,3-Dimethylbutane(ppbC)	3.160292E-001	7.848957E-001	3.488506E-001	5.874510E-001	5.285329E-001	8.035551E-001
1	2-Methylpentane(ppbC)	1.131354E+000	1.146244E+000	1.012083E+000	1.864168E+000	1.118701E+000	3.170016E+000
1	3-Methylpentane(ppbC)	8.406162E-001	9.117406E-001	8.111766E-001	1.610259E+000	8.852032E-001	2.123487E+000
1	Isoprene(ppbC)	0.000000E+000	2.319198E+000	3.596913E-001	1.354480E-002	2.841986E-001	7.066125E-002
1	Methylcyclopentane(ppbC)	1.556314E+000	1.048116E+000	1.487297E+000	3.115730E+000	1.397653E+000	3.886703E+000
1	2,4-Dimethylpentane(ppbC)	2.817464E+000	1.431723E+000	1.511059E+000	2.089491E+000	1.286151E+000	1.986657E+000
1	Benzene(ppbC)	4.029351E-001	6.649480E-001	3.169996E-001	7.182816E-001	3.973436E-001	2.865977E-001
1	Cyclohexane(ppbC)	5.896731E+000	7.764311E-004	2.870281E+000	3.736180E+000	2.632662E+000	1.493514E+000
