
Factor Profiles (conc. of species) from Base Run #10 (Convergent Run)

		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8
		Factor 1	Factor 2	Factor 3	Factor 4	Factor 5	Factor 6	Factor 7	Factor 8
10	Ethane(ppbC)	2.063610E+000	1.236467E+001	0.000000E+000	3.220494E+000	6.253798E+000	0.000000E+000	6.992699E+000	0.000000E+000
10	Ethylene(ppbC)	0.000000E+000	1.648282E+001	1.680028E+000	3.233422E+000	9.535977E+000	0.000000E+000	0.000000E+000	1.078676E+001
10	Propane(ppbC)	7.225421E+000	1.288617E+001	3.124815E+000	6.289554E+000	4.484952E-002	4.930389E+000	8.162154E+000	3.113663E+000
10	Propylene(ppbC)	0.000000E+000	5.881448E+000	3.558793E+000	0.000000E+000	6.366207E+000	3.831091E+000	3.764202E+000	7.557748E+000
10	Isobutane(ppbC)	8.313212E+000	2.758252E+000	1.814064E+000	2.791253E+000	0.000000E+000	7.777937E+000	4.760679E+000	2.481656E+000
10	n-Butane(ppbC)	1.731446E+001	3.837460E+000	1.984208E+000	3.838105E+000	1.232014E+000	1.090125E+001	1.017672E+001	4.480485E+000
10	Acetylene(ppbC)	1.371974E-001	8.390909E+000	2.232333E+000	4.776790E+000	0.000000E+000	2.602607E+000	1.078502E-001	0.000000E+000
10	t-2-Butene(ppbC)	2.022166E+000	9.051946E-002	7.583887E-001	1.756537E-001	1.280793E+000	4.987322E-001	0.000000E+000	1.062993E-001
10	1-Butene(ppbC)	9.068130E-001	6.554875E-001	1.187790E+000	2.583677E-001	1.603895E+000	9.524105E-001	1.471185E+000	1.089905E-001
10	cis-2-Butene(ppbC)	1.025826E+000	2.354626E-001	3.610950E-001	9.662538E-002	1.128317E+000	2.683939E-002	9.591785E-002	1.632510E-001
10	Cyclopentane(ppbC)	7.752344E-001	4.791573E-001	1.094213E-001	3.506479E-001	1.710430E+000	7.113478E-002	1.086179E+000	4.639927E-001
10	Isopentane(ppbC)	1.842961E+001	1.365711E+000	3.826074E+000	3.425485E+000	2.416635E+000	3.649324E+000	1.328331E+001	6.319098E+000
10	n-Pentane(ppbC)	1.339497E+001	0.000000E+000	2.110842E+000	0.000000E+000	2.652476E+000	0.000000E+000	1.360707E+001	4.467755E+000
10	t-2-Pentene(ppbC)	1.330529E+000	0.000000E+000	7.806527E-001	1.639347E-001	1.860925E+000	4.827307E-001	2.999195E-002	8.542279E-003
10	1-Pentene(ppbC)	2.335786E-001	9.092351E-002	2.606696E-001	5.781693E-002	6.474986E-001	2.720632E-001	2.131054E-001	0.000000E+000
10	cis-2-Pentene(ppbC)	4.685048E-001	1.171333E-002	2.855047E-001	9.198736E-002	6.230828E-001	3.243802E-001	0.000000E+000	4.492828E-002
10	2,2-Dimethylbutane(ppbC)	3.042520E-001	5.394964E-002	1.224350E-001	4.646197E-002	9.097694E-001	7.401542E-002	3.133122E-001	4.418335E-002
10	2,3-Dimethylbutane(ppbC)	8.325878E-001	2.010801E-001	5.574533E-001	4.563884E-001	9.863371E-001	8.748997E-001	4.237658E-001	2.323279E-001
10	2-Methylpentane(ppbC)	3.319458E+000	4.419841E-001	6.231095E-001	1.651087E+000	1.765875E+000	2.104405E+000	9.179576E-001	1.620119E+000
10	3-Methylpentane(ppbC)	2.247222E+000	4.928305E-001	5.722526E-001	1.481264E+000	1.234654E+000	1.919423E+000	6.600683E-001	1.246588E+000
10	Isoprene(ppbC)	1.445996E-001	2.186485E-001	1.706021E+000	0.000000E+000	5.725019E-001	4.588419E+000	0.000000E+000	0.000000E+000
10	Methylcyclopentane(ppbC)	3.976237E+000	3.778630E-001	2.232277E-001	1.451716E+000	4.286140E+000	2.639301E+000	1.778924E+000	2.034842E+000
10	2,4-Dimethylpentane(ppbC)	1.735854E+000	1.325683E+000	6.998468E-001	1.094604E+000	3.623566E+000	2.668429E+000	1.418700E+000	2.789891E+000
10	Benzene(ppbC)	2.614396E-001	3.608980E-001	6.230530E-001	6.408802E-001	6.317890E-001	8.825789E-001	2.723917E-001	3.676307E-001
10	Cyclohexane(ppbC)	7.608960E-001	3.703744E+000	1.606907E+000	3.394618E+000	3.115909E+000	0.000000E+000	2.451308E+000	5.943002E+000
10	2-Methylhexane(ppbC)	6.989827E-001	1.050224E+000	0.000000E+000	4.884693E-001	2.468846E+000	3.021370E-001	3.781224E-001	2.659152E+000
10	2,3-Dimethylpentane(ppbC)	8.441396E-001	7.316118E-001	1.459140E+000	1.786429E+000	9.234987E-001	1.508056E+000	1.517663E-001	9.017603E-001
10	3-Methylhexane(ppbC)	3.337546E-001	3.229328E-001	6.593874E-001	7.940562E-001	3.497889E-001	8.541696E-001	4.674566E-002	3.393097E-001
10	2,2,4-Trimethylpentane(ppbC)	8.565020E-001	6.805391E-001	1.536555E+000	1.730894E+000	1.126667E+000	2.031585E+000	2.217751E-001	1.032837E+000
10	n-Heptane(ppbC)	4.446160E-001	1.449109E+000	2.141752E+000	3.060617E+000	6.609244E-001	2.146584E+000	2.665089E-001	1.096972E+000
10	Methylcyclohexane(ppbC)	1.177063E+000	6.282272E-001	1.236217E+000	1.603229E+000	1.658350E+000	1.837127E+000	4.735647E-001	1.025432E+000
10	2,3,4-Trimethylpentane(ppbC)	8.084204E-001	8.813283E-002	3.487085E-001	4.740646E-001	1.371882E+000	7.862295E-001	4.923227E-001	4.491521E-001
10	Toluene(ppbC)	1.398725E-001	5.633088E-001	1.051098E+000	1.244350E+000	1.849110E-001	1.099091E+000	0.000000E+000	3.041880E-001
10	2-Methylheptane(ppbC)	0.000000E+000	1.464732E+001	2.268611E+001	2.317743E+001	1.182047E+001	7.335342E+000	2.379464E-001	1.542625E+001
10	3-Methylheptane(ppbC)	2.318610E-001	2.557894E-001	5.812938E-001	6.136009E-001	1.007855E+000	7.437291E-001	9.350634E-002	7.084845E-002
10	n-Octane(ppbC)	2.274784E-001	2.179266E-001	5.335449E-001	6.913233E-001	4.724292E-001	9.921873E-001	3.081053E-002	2.434704E-001
10	Ethylbenzene(ppbC)	3.000974E-001	2.620926E-001	7.171381E-001	9.950106E-001	1.170628E+000	3.253259E+000	3.780473E-001	3.940155E-001
10	m,p-Xylene(ppbC)	2.132718E+000	7.899576E-001	2.334782E+000	2.772786E+000	1.373730E+000	4.453560E-001	2.576723E+000	2.703248E+000
10	Styrene(ppbC)	2.864025E+000	2.446697E+000	9.883747E+000	8.413597E+000	7.704954E+000	3.753164E+000	6.202826E+000	6.135165E+000
10	o-Xylene(ppbC)	5.710013E-002	0.000000E+000	5.015220E+000	3.537874E-001	0.000000E+000	0.000000E+000	0.000000E+000	5.186453E+000
10	n-Nonane(ppbC)	8.575660E-001	9.467854E-001	4.918027E+000	3.195959E+000	2.937559E+000	1.132248E+000	3.214562E+000	2.543806E+000
10	Isopropylbenzene(ppbC)	2.556992E-002	0.000000E+000	5.225655E-001	5.538185E-001	4.616041E-001	4.247395E+000	4.482563E-001	3.223684E-001
10	n-Propylbenzene(ppbC)	0.000000E+000	1.394857E-002	0.000000E+000	2.558693E-001	0.000000E+000	3.139206E+000	6.546445E-001	4.048337E-001
10	m-Ethyltoluene(ppbC)	4.984178E-002	1.604751E-001	6.539626E-001	6.117541E-001	0.000000E+000	9.027983E-001	5.418044E-001	3.876262E-001
10	p-Ethyltoluene(ppbC)	9.701956E-002	5.129849E-001	1.755861E+000	1.668315E+000	4.399804E-001	1.978625E+000	1.124146E+000	1.023786E+000
10	1,3,5-Trimethylbenzene(ppbC)	4.715448E-002	1.953964E-001	1.266053E+000	8.947049E-001	7.000003E-001	1.361848E+000	9.288052E-001	3.931830E-001
10	o-Ethyltoluene(ppbC)	4.224194E-002	1.368567E-001	1.049911E+000	6.871285E-001	1.018086E+000	1.207167E+000	1.005156E+000	1.901393E-001
10	1,2,4-Trimethylbenzene(ppbC)	6.141178E-003	1.724945E-001	9.897874E-001	6.767866E-001	7.955119E-001	1.431320E+000	7.741434E-001	3.880183E-001
10	n-Decane(ppbC)	2.209578E-001	8.368282E-001	4.233494E+000	2.321753E+000	3.683368E+000	1.917720E-001	4.168818E+000	1.032015E+000
10	1,2,3-Trimethylbenzene(ppbC)	2.859212E-002	3.644321E-002	4.809476E-001	3.747878E-001	6.228188E-001	1.815791E+000	7.320881E-001	1.736966E-001
10	m-Diethylbenzene(ppbC)	9.902085E-002	4.374371E-002	1.773096E+000	7.084718E-001	1.522707E+000	1.749137E+000	1.123561E+000	3.189705E-001
10	p-Diethylbenzene(ppbC)	2.292517E-002	0.000000E+000	2.511142E-001	1.303974E-001	4.050233E-001	2.022317E-001	2.769143E-001	0.000000E+000
10	n-Undecane(ppbC)	3.608860E-002	7.841392E-002	6.199450E-001	4.361531E-001	4.561256E-001	8.246822E-001	4.582862E-001	2.928567E-001
10	n-Dodecane(ppbC)	1.265627E-001	2.437431E-002	4.915541E-001	2.973028E-001	1.788450E-001	6.553993E-001	1.010663E+000	1.786967E-001
